"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2013,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  espanyola",15090
2013,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  espanyola",6517
2013,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  espanyola",6957
2013,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  espanyola",9662
2013,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  espanyola",12017
2013,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  espanyola",22696
2013,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  espanyola",18269
2013,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",18566
2013,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",24904
2013,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  espanyola",16228
2013,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  espanyola",15504
2013,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  espanyola",442
2013,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  espanyola",11223
2013,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  espanyola",4318
2013,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  espanyola",6685
2013,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  espanyola",7569
2013,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  espanyola",10305
2013,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  espanyola",17941
2013,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  espanyola",19417
2013,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  espanyola",9972
2013,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  espanyola",4262
2013,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  espanyola",2817
2013,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  espanyola",10262
2013,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  espanyola",5393
2013,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  espanyola",9403
2013,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  espanyola",19307
2013,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  espanyola",12771
2013,6,"Gràcia",28,"Vallcarca i els Penitents","Persona física. Nacionalitat  espanyola",7360
2013,6,"Gràcia",29,"el Coll","Persona física. Nacionalitat  espanyola",3353
2013,6,"Gràcia",30,"la Salut","Persona física. Nacionalitat  espanyola",5926
2013,6,"Gràcia",31,"la Vila de Gràcia","Persona física. Nacionalitat  espanyola",24798
2013,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Persona física. Nacionalitat  espanyola",15570
2013,7,"Horta-Guinardó",33,"el Baix Guinardó","Persona física. Nacionalitat  espanyola",10861
2013,7,"Horta-Guinardó",34,"Can Baró","Persona física. Nacionalitat  espanyola",4245
2013,7,"Horta-Guinardó",35,"el Guinardó","Persona física. Nacionalitat  espanyola",16130
2013,7,"Horta-Guinardó",36,"la Font d'en Fargues","Persona física. Nacionalitat  espanyola",4840
2013,7,"Horta-Guinardó",37,"el Carmel","Persona física. Nacionalitat  espanyola",13831
2013,7,"Horta-Guinardó",38,"la Teixonera","Persona física. Nacionalitat  espanyola",5086
2013,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Persona física. Nacionalitat  espanyola",2844
2013,7,"Horta-Guinardó",40,"Montbau","Persona física. Nacionalitat  espanyola",2458
2013,7,"Horta-Guinardó",41,"la Vall d'Hebron","Persona física. Nacionalitat  espanyola",2901
2013,7,"Horta-Guinardó",42,"la Clota","Persona física. Nacionalitat  espanyola",280
2013,7,"Horta-Guinardó",43,"Horta","Persona física. Nacionalitat  espanyola",12319
2013,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Persona física. Nacionalitat  espanyola",11089
2013,8,"Nou Barris",45,"Porta","Persona física. Nacionalitat  espanyola",9881
2013,8,"Nou Barris",46,"el Turó de la Peira","Persona física. Nacionalitat  espanyola",5311
2013,8,"Nou Barris",47,"Can Peguera","Persona física. Nacionalitat  espanyola",103
2013,8,"Nou Barris",48,"la Guineueta","Persona física. Nacionalitat  espanyola",5926
2013,8,"Nou Barris",49,"Canyelles","Persona física. Nacionalitat  espanyola",2697
2013,8,"Nou Barris",50,"les Roquetes","Persona física. Nacionalitat  espanyola",6203
2013,8,"Nou Barris",51,"Verdun","Persona física. Nacionalitat  espanyola",5307
2013,8,"Nou Barris",52,"la Prosperitat","Persona física. Nacionalitat  espanyola",11375
2013,8,"Nou Barris",53,"la Trinitat Nova","Persona física. Nacionalitat  espanyola",2907
2013,8,"Nou Barris",54,"Torre Baró","Persona física. Nacionalitat  espanyola",1056
2013,8,"Nou Barris",55,"Ciutat Meridiana","Persona física. Nacionalitat  espanyola",3212
2013,8,"Nou Barris",56,"Vallbona","Persona física. Nacionalitat  espanyola",575
2013,9,"Sant Andreu",57,"la Trinitat Vella","Persona física. Nacionalitat  espanyola",3447
2013,9,"Sant Andreu",58,"Baró de Viver","Persona física. Nacionalitat  espanyola",848
2013,9,"Sant Andreu",59,"el Bon Pastor","Persona física. Nacionalitat  espanyola",4230
2013,9,"Sant Andreu",60,"Sant Andreu","Persona física. Nacionalitat  espanyola",25361
2013,9,"Sant Andreu",61,"la Sagrera","Persona física. Nacionalitat  espanyola",10529
2013,9,"Sant Andreu",62,"el Congrés i els Indians","Persona física. Nacionalitat  espanyola",6194
2013,9,"Sant Andreu",63,"Navas","Persona física. Nacionalitat  espanyola",8947
2013,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Persona física. Nacionalitat  espanyola",16882
2013,10,"Sant Martí",65,"el Clot","Persona física. Nacionalitat  espanyola",10619
2013,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Persona física. Nacionalitat  espanyola",5753
2013,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Persona física. Nacionalitat  espanyola",3891
2013,10,"Sant Martí",68,"el Poblenou","Persona física. Nacionalitat  espanyola",13342
2013,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Persona física. Nacionalitat  espanyola",4830
2013,10,"Sant Martí",70,"el Besòs i el Maresme","Persona física. Nacionalitat  espanyola",8253
2013,10,"Sant Martí",71,"Provençals del Poblenou","Persona física. Nacionalitat  espanyola",7818
2013,10,"Sant Martí",72,"Sant Martí de Provençals","Persona física. Nacionalitat  espanyola",10820
2013,10,"Sant Martí",73,"la Verneda i la Pau","Persona física. Nacionalitat  espanyola",11663
2013,99,"No consta",99,"No consta","Persona física. Nacionalitat  espanyola",6
2013,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  estrangera",1567
2013,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  estrangera",455
2013,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  estrangera",306
2013,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  estrangera",643
2013,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  estrangera",235
2013,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  estrangera",367
2013,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  estrangera",441
2013,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  estrangera",392
2013,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  estrangera",421
2013,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  estrangera",316
2013,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  estrangera",873
2013,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  estrangera",6
2013,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  estrangera",343
2013,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  estrangera",94
2013,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  estrangera",147
2013,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  estrangera",87
2013,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  estrangera",157
2013,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  estrangera",271
2013,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  estrangera",251
2013,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  estrangera",85
2013,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  estrangera",158
2013,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  estrangera",132
2013,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  estrangera",222
2013,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  estrangera",139
2013,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  estrangera",181
2013,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  estrangera",348
2013,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  estrangera",241
2013,6,"Gràcia",28,"Vallcarca i els Penitents","Persona física. Nacionalitat  estrangera",117
2013,6,"Gràcia",29,"el Coll","Persona física. Nacionalitat  estrangera",69
2013,6,"Gràcia",30,"la Salut","Persona física. Nacionalitat  estrangera",100
2013,6,"Gràcia",31,"la Vila de Gràcia","Persona física. Nacionalitat  estrangera",510
2013,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Persona física. Nacionalitat  estrangera",198
2013,7,"Horta-Guinardó",33,"el Baix Guinardó","Persona física. Nacionalitat  estrangera",120
2013,7,"Horta-Guinardó",34,"Can Baró","Persona física. Nacionalitat  estrangera",76
