"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  espanyola",14924
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  espanyola",6278
2015,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  espanyola",6827
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  espanyola",9466
2015,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  espanyola",11795
2015,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  espanyola",22523
2015,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  espanyola",18206
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",18200
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",24896
2015,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  espanyola",16127
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  espanyola",15276
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  espanyola",452
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  espanyola",11250
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  espanyola",4337
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  espanyola",6706
2015,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  espanyola",7621
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  espanyola",10330
2015,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  espanyola",17885
2015,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  espanyola",19593
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  espanyola",10076
2015,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  espanyola",4287
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  espanyola",2877
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  espanyola",10283
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  espanyola",5398
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  espanyola",9394
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  espanyola",19236
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  espanyola",12769
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Persona física. Nacionalitat  espanyola",7440
2015,6,"Gràcia",29,"el Coll","Persona física. Nacionalitat  espanyola",3364
2015,6,"Gràcia",30,"la Salut","Persona física. Nacionalitat  espanyola",5974
2015,6,"Gràcia",31,"la Vila de Gràcia","Persona física. Nacionalitat  espanyola",24708
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Persona física. Nacionalitat  espanyola",15611
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Persona física. Nacionalitat  espanyola",10854
2015,7,"Horta-Guinardó",34,"Can Baró","Persona física. Nacionalitat  espanyola",4257
2015,7,"Horta-Guinardó",35,"el Guinardó","Persona física. Nacionalitat  espanyola",16206
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Persona física. Nacionalitat  espanyola",4855
2015,7,"Horta-Guinardó",37,"el Carmel","Persona física. Nacionalitat  espanyola",13770
2015,7,"Horta-Guinardó",38,"la Teixonera","Persona física. Nacionalitat  espanyola",5249
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Persona física. Nacionalitat  espanyola",2864
2015,7,"Horta-Guinardó",40,"Montbau","Persona física. Nacionalitat  espanyola",2449
