"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2011,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  espanyola",15126
2011,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  espanyola",6628
2011,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  espanyola",7084
2011,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  espanyola",9613
2011,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  espanyola",11891
2011,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  espanyola",22630
2011,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  espanyola",18166
2011,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",18510
2011,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",24650
2011,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  espanyola",16300
2011,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  espanyola",15536
2011,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  espanyola",497
2011,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  espanyola",11151
2011,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  espanyola",4260
2011,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  espanyola",6624
2011,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  espanyola",7507
2011,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  espanyola",10231
2011,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  espanyola",17828
2011,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  espanyola",19309
2011,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  espanyola",9864
2011,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  espanyola",4220
2011,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  espanyola",2757
2011,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  espanyola",10135
2011,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  espanyola",5341
2011,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  espanyola",9230
2011,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  espanyola",19192
2011,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  espanyola",12703
