Census Section,Total dwellings,Occupied dwellings,Secondary or seasonal dwellings,Vacant dwellings
Sección 0801902117,625,515,0,110*
Sección 0801902118,760,730,30*,0
Sección 0801902119,640,620,25*,0
Sección 0801902120,610,610,0,0
Sección 0801902121,750,685,0,65*
Sección 0801902122,720,670,0,50*
Sección 0801902123,810,540,0,270
Sección 0801902124,520,520,0,0
Sección 0801902125,850,790,0,60*
Sección 0801902126,675,640,15*,25*
Sección 0801902127,650,325,0,325*
Sección 0801902128,695,535,55*,105*
Sección 0801902129,910,705,0,210*
Sección 0801902130,425,400,25*,0
Sección 0801902131,690,690,0,0
Sección 0801902132,610,565,0,45*
Sección 0801902133,475,475,0,0
Sección 0801902134,720,720,0,0
Sección 0801902135,1160,1090,0,70*
Sección 0801902136,580,505,0,75*
Sección 0801902137,895,715,160*,25*
Sección 0801902138,1165,940,85*,145*
Sección 0801902139,1160,925,80*,155*
Sección 0801902140,1235,1050,0,185
Sección 0801902141,750,615,135*,0
Sección 0801902142,1175,950,180,50*
Sección 0801902143,735,625,65*,50*
Sección 0801902144,800,550,0,250
Sección 0801902145,605,520,25*,65*
Sección 0801902146,515,515,0,0
Sección 0801902147,1145,1075,0,70*
Sección 0801902148,1110,790,25*,295
Sección 0801902149,795,635,70*,95*
Sección 0801902150,815,615,115*,90*
Sección 0801902151,855,715,90*,45*
Sección 0801902152,765,765,0,0
Sección 0801902153,930,930,0,0
Sección 0801902154,585,435,150*,0
Sección 0801902155,865,700,60*,105*
Sección 0801902156,585,560,0,25*
Sección 0801902157,665,555,55*,55*
Sección 0801902158,760,735,0,25*
Sección 0801902159,1055,960,25*,70*
Sección 0801902160,1050,965,25*,60*
Sección 0801902161,730,655,25*,50*
Sección 0801902162,980,695,40*,245*
Sección 0801902163,1065,740,25*,305
Sección 0801902164,785,735,0,50*
Sección 0801902165,1040,690,75*,275
Sección 0801902166,1490,1030,65*,390
Sección 0801902167,955,855,0,100*
Sección 0801902168,1210,1130,0,75*
Sección 0801902169,670,580,90*,0
Sección 0801902170,495,495,0,0
Sección 0801902171,680,660,25*,0
Sección 0801902172,730,680,25*,25*
Sección 0801902173,680,680,0,0
Sección 0801903001,890,730,90*,70*
Sección 0801903002,1395,1185,35*,175*
Sección 0801903003,940,820,0,120*
Sección 0801903004,920,620,105*,200*
Sección 0801903005,840,685,85*,65*
Sección 0801903006,870,580,25*,265
Sección 0801903007,770,720,25*,25*
Sección 0801903008,400,400,0,0
Sección 0801903009,475,475,0,0
Sección 0801903010,625,575,0,45*
Sección 0801903011,900,740,0,160*
Sección 0801903012,1015,915,25*,75*
Sección 0801903013,580,555,0,25*
Sección 0801903014,785,785,0,0
Sección 0801903015,1370,1320,0,50*
Sección 0801903016,550,425,0,125*
Sección 0801903017,520,520,0,0
Sección 0801903018,745,675,70*,0
Sección 0801903019,560,535,25*,0
Sección 0801903020,725,470,225*,25*
Sección 0801903021,520,475,45*,0
Sección 0801903022,825,675,0,155*
Sección 0801903023,930,805,50*,75*
Sección 0801903024,955,840,0,115*
Sección 0801903025,380,310,0,70*
Sección 0801903026,520,520,0,0
Sección 0801903027,900,780,50*,70*
Sección 0801903028,990,990,0,0
Sección 0801903029,600,600,0,0
Sección 0801903030,740,740,0,0
Sección 0801903031,935,935,0,0
Sección 0801903032,690,690,0,0
Sección 0801903033,465,400,0,65*
Sección 0801903034,1165,1165,0,0
Sección 0801903035,2925,2820,0,100*
Sección 0801903036,915,915,0,0
Sección 0801903037,435,435,0,0
Sección 0801903038,365,340,0,25*
Sección 0801903039,710,655,0,55*
Sección 0801903040,775,720,50*,0
Sección 0801903041,635,440,135*,60*
Sección 0801903042,645,590,40*,15*
Sección 0801903043,820,720,105*,0
Sección 0801903044,890,765,25*,100*
Sección 0801903045,575,575,0,0
Sección 0801903046,725,725,0,0
Sección 0801903047,915,710,55*,150*
Sección 0801903048,800,710,25*,65*
Sección 0801903049,790,715,0,75*
Sección 0801903050,925,610,40*,275
Sección 0801903051,710,710,0,0
Sección 0801903052,620,570,50*,0
Sección 0801903053,940,830,105*,0
Sección 0801903054,695,645,45*,0
Sección 0801903055,980,775,95*,115
Sección 0801903056,545,545,0,0
Sección 0801903057,860,605,25*,230
Sección 0801903058,535,535,0,0
Sección 0801903059,610,580,25*,0
Sección 0801903060,650,620,0,30*
Sección 0801903061,530,530,0,0
Sección 0801903062,855,810,0,50*
Sección 0801903063,605,605,0,0
Sección 0801903064,620,550,70*,0
Sección 0801903065,670,540,50*,75*
Sección 0801903066,1105,885,55*,160
Sección 0801903067,910,725,135*,45*
Sección 0801903068,630,630,0,0
Sección 0801903069,785,600,40*,145*
Sección 0801903070,675,420,0,255
Sección 0801903071,630,515,0,115*
Sección 0801903072,705,610,0,95*
Sección 0801903073,730,705,0,25*
Sección 0801903074,925,835,65*,25*
Sección 0801903075,675,650,0,25*
Sección 0801903076,435,415,0,25*
Sección 0801903077,825,615,0,210*
Sección 0801903078,940,700,95*,150*
Sección 0801903079,1115,840,0,275
Sección 0801903080,745,635,0,110*
Sección 0801903081,950,750,0,200*
Sección 0801903082,960,795,110*,50*
Sección 0801903083,715,645,20*,45*
Sección 0801903084,735,710,0,25*
Sección 0801903085,570,355,120*,90*
Sección 0801903086,690,615,0,75*
Sección 0801903087,760,650,110*,0
Sección 0801903088,970,740,20*,205
Sección 0801903089,925,590,170*,165*
Sección 0801903090,650,625,25*,0
Sección 0801903091,785,735,0,50*
Sección 0801903092,620,600,25*,0
Sección 0801903093,865,600,25*,245*
Sección 0801903094,695,515,0,180*
Sección 0801903095,865,790,0,75*
Sección 0801903096,845,650,25*,175*
Sección 0801903097,1105,830,50*,225
Sección 0801903098,780,595,0,180*
Sección 0801903099,645,645,0,0
Sección 0801903100,730,595,0,135*
Sección 0801903101,960,735,100*,125*
Sección 0801903102,1105,495,305,305
Sección 0801903103,680,480,25*,175*
Sección 0801903104,830,700,55*,75*
Sección 0801903105,590,560,0,30*
Sección 0801903106,825,595,25*,210*
Sección 0801903107,815,690,50*,75*
Sección 0801903108,815,720,75*,20*
Sección 0801903109,890,745,0,145*
Sección 0801903110,680,680,0,0
Sección 0801903111,700,580,0,120*
Sección 0801903112,1265,840,25*,400
Sección 0801903113,935,785,0,150*
Sección 0801903114,935,855,0,75*
Sección 0801904001,650,435,110*,110*
Sección 0801904002,1125,760,0,365*
Sección 0801904003,525,475,45*,0
Sección 0801904004,585,480,50*,50*
Sección 0801904005,790,575,55*,160*
Sección 0801904006,645,555,0,90*
Sección 0801904007,740,405,180*,150*
Sección 0801904008,670,500,0,170*
Sección 0801904009,875,825,0,50*
Sección 0801904010,430,430,0,0
Sección 0801904011,995,630,290,75*
Sección 0801904012,575,575,0,0
Sección 0801904013,605,465,75*,65*
Sección 0801904014,400,325,75*,0
Sección 0801904015,915,880,25*,15*
Sección 0801904016,735,445,145*,145*
Sección 0801904017,960,460,205*,290*
Sección 0801904018,915,595,115*,205*
Sección 0801904019,795,390,225*,180*
Sección 0801904020,705,680,0,25*
Sección 0801904021,855,565,130*,160*
Sección 0801904022,1185,450,450,285*
Sección 0801904023,420,335,25*,60*
Sección 0801904024,370,320,0,55*
Sección 0801904025,855,545,120*,190*
Sección 0801904026,695,555,70*,70*
Sección 0801904027,650,450,100*,100*
Sección 0801904028,910,595,45*,270
Sección 0801904029,640,595,0,45*
Sección 0801904030,1070,770,120*,180*
Sección 0801904031,660,660,0,0
Sección 0801904032,875,765,45*,70*
Sección 0801904033,640,640,0,0
Sección 0801904034,725,640,60*,25*
Sección 0801904035,720,720,0,0
Sección 0801904036,1095,760,110*,230*
Sección 0801904037,1125,815,135*,170*
Sección 0801904038,855,660,100*,100*
Sección 0801904039,730,495,55*,185*
Sección 0801904040,905,625,170*,110*
Sección 0801904041,835,555,20*,260*
Sección 0801904042,1280,770,130*,385
Sección 0801904043,890,755,55*,80*
Sección 0801904044,845,670,40*,135*
Sección 0801904045,590,510,0,80*
Sección 0801904046,1135,920,80*,130*
Sección 0801904047,750,645,105*,0
Sección 0801904048,1555,1035,230,290
Sección 0801904049,705,505,50*,150*
Sección 0801904050,895,695,75*,125*
Sección 0801904051,710,645,25*,45*
Sección 0801904052,865,755,110*,0
Sección 0801904053,900,520,90*,290
Sección 0801904054,435,410,0,20*
Sección 0801904055,460,460,0,0
Sección 0801904056,780,520,175*,85*
Sección 0801905001,935,350,445,140*
Sección 0801905002,670,370,120*,180*
Sección 0801905003,450,305,100*,50*
Sección 0801905004,310,255,55*,0
Sección 0801905005,375,310,65*,0
Sección 0801905006,720,720,0,0
Sección 0801905007,680,570,45*,65*
Sección 0801905008,620,540,0,80*
Sección 0801905009,740,600,25*,120*
Sección 0801905010,985,470,115*,400
Sección 0801905011,695,625,0,70*
Sección 0801905012,695,520,0,175*
Sección 0801905013,940,830,60*,45*
Sección 0801905014,710,685,25*,0
Sección 0801905015,735,680,55*,0
Sección 0801905016,920,855,0,65*
Sección 0801905017,630,585,0,45*
Sección 0801905018,510,510,0,0
Sección 0801905019,680,680,0,0
Sección 0801905020,725,610,90*,25*
Sección 0801905021,685,555,40*,85*
Sección 0801905022,790,705,0,85*
Sección 0801905023,635,445,0,190
Sección 0801905024,880,620,0,260*
Sección 0801905025,450,375,25*,50*
Sección 0801905026,565,455,20*,90*
Sección 0801905027,575,475,60*,40*
Sección 0801905028,600,580,0,25*
Sección 0801905029,535,450,30*,55*
Sección 0801905030,460,415,0,45*
Sección 0801905031,555,510,45*,0
Sección 0801905032,700,540,0,160*
Sección 0801905033,455,420,0,35*
Sección 0801905034,555,555,0,0
Sección 0801905035,355,355,0,0
Sección 0801905036,960,620,295,45*
Sección 0801905037,780,610,0,170*
Sección 0801905038,960,640,225,90*
Sección 0801905039,625,570,0,55*
Sección 0801905040,880,740,0,140*
Sección 0801905041,1040,760,0,280
Sección 0801905042,890,375,115*,400
Sección 0801905043,835,630,120*,85*
Sección 0801905044,595,515,0,85*
Sección 0801905045,675,630,0,45*
Sección 0801905046,560,380,110*,65*
Sección 0801905047,615,435,90*,90*
Sección 0801905048,645,430,90*,125*
Sección 0801905049,710,500,70*,145*
Sección 0801905050,875,700,35*,140*
Sección 0801905051,740,605,50*,85*
Sección 0801905052,515,470,25*,20*
Sección 0801905053,560,440,0,120*
Sección 0801905054,495,255,60*,180*
Sección 0801905055,675,520,130*,25*
Sección 0801905056,590,470,20*,100*
Sección 0801905057,1150,460,345,345
Sección 0801905058,1140,475,270,395
Sección 0801905059,1150,690,155*,305
Sección 0801905060,705,465,30*,205
Sección 0801905061,1070,715,115*,245*
Sección 0801905062,1260,885,70*,310
Sección 0801905063,925,780,0,145*
Sección 0801905064,785,570,0,220*
Sección 0801905065,1055,715,145*,195
Sección 0801905066,680,510,60*,110*
Sección 0801905067,675,550,45*,80*
Sección 0801905068,740,530,0,210*
Sección 0801905069,990,710,180*,105*
Sección 0801905070,730,560,55*,115*
Sección 0801905071,945,670,180*,95*
Sección 0801905072,805,710,0,90*
Sección 0801905073,1015,785,45*,185*
Sección 0801905074,1025,670,300,55*
Sección 0801905075,945,695,125*,125*
Sección 0801905076,625,625,0,0
Sección 0801905077,685,425,70*,190*
Sección 0801905078,840,810,0,25*
Sección 0801905079,530,430,80*,25*
Sección 0801905080,610,585,0,25*
Sección 0801905081,985,665,25*,290
Sección 0801905082,1355,740,230,385
Sección 0801905083,700,495,0,205
Sección 0801905084,865,640,0,225
Sección 0801905085,695,610,25*,60*
Sección 0801905086,840,805,35*,0
Sección 0801905087,1025,600,120*,305
Sección 0801905088,905,745,0,160*
Sección 0801905089,990,705,0,285
Sección 0801905090,1005,945,0,60*
Sección 0801905091,805,650,25*,130*
Sección 0801905092,765,565,60*,140*
Sección 0801905093,575,375,0,195*
Sección 0801905094,1100,960,0,135*
Sección 0801905095,975,755,55*,160*
Sección 0801905096,800,565,0,235
Sección 0801905097,740,660,0,80*
Sección 0801905098,785,685,0,95*
Sección 0801906001,540,540,0,0
Sección 0801906002,910,820,25*,60*
Sección 0801906003,700,655,45*,0
Sección 0801906004,600,580,0,25*
Sección 0801906005,500,500,0,0
Sección 0801906006,475,475,0,0
Sección 0801906007,980,910,45*,25*
Sección 0801906008,1030,890,70*,65*
Sección 0801906009,570,475,0,95*
Sección 0801906010,440,440,0,0
Sección 0801906011,575,575,0,0
Sección 0801906012,490,490,0,0
Sección 0801906013,760,760,0,0
Sección 0801906014,725,670,55*,0
Sección 0801906015,610,560,0,50*
Sección 0801906016,955,795,0,160*
Sección 0801906017,625,605,0,25*
Sección 0801906018,560,535,25*,0
Sección 0801906019,605,580,25*,0
Sección 0801906020,530,530,0,0
Sección 0801906021,635,385,0,250
Sección 0801906022,565,400,0,165*
Sección 0801906023,585,585,0,0
Sección 0801906024,835,705,130*,0
Sección 0801906025,775,590,165*,25*
Sección 0801906026,460,435,0,25*
Sección 0801906027,570,530,0,35*
Sección 0801906028,660,575,65*,25*
Sección 0801906029,1015,655,130*,230*
Sección 0801906030,535,535,0,0
Sección 0801906031,545,545,0,0
Sección 0801906032,740,545,50*,145*
Sección 0801906033,955,615,180*,160*
Sección 0801906034,925,565,175,185
Sección 0801906035,645,475,110*,55*
Sección 0801906036,585,560,0,25*
Sección 0801906037,620,445,105*,70*
Sección 0801906038,1220,850,280,90*
Sección 0801906039,785,785,0,0
Sección 0801906040,785,725,0,60*
Sección 0801906041,1025,685,115*,220*
Sección 0801906042,1550,675,410,465
Sección 0801906043,955,660,150*,150
Sección 0801906044,1155,655,180*,315
Sección 0801906045,935,625,225*,85*
Sección 0801906046,595,545,50*,0
Sección 0801906047,765,525,190,50*
Sección 0801906048,925,540,335,45*
Sección 0801906049,585,585,0,0
Sección 0801906050,705,615,40*,55*
Sección 0801906051,700,525,175*,0
Sección 0801906052,880,745,140*,0
Sección 0801906053,690,615,50*,25*
Sección 0801906054,950,855,65*,30*
Sección 0801906055,575,575,0,0
Sección 0801906056,815,815,0,0
Sección 0801906057,1030,635,390,0
Sección 0801906058,970,845,55*,75*
Sección 0801906059,920,870,0,50*
Sección 0801906060,910,910,0,0
Sección 0801906061,675,675,0,0
Sección 0801906062,655,605,0,45*
Sección 0801906063,940,810,100*,35*
Sección 0801906064,900,875,0,25*
Sección 0801906065,580,520,30*,30*
Sección 0801906066,395,345,0,50*
Sección 0801906067,995,760,155*,80*
Sección 0801906068,860,585,170*,105*
Sección 0801906069,730,505,225*,0
Sección 0801906070,1040,795,30*,210
Sección 0801906071,490,420,0,70*
Sección 0801906072,885,710,110*,60*
Sección 0801906073,835,605,175*,55*
Sección 0801906074,625,575,0,50*
Sección 0801906075,495,445,45*,0
Sección 0801906076,600,565,0,35*
Sección 0801906077,730,660,0,70*
Sección 0801906078,700,595,105*,0
Sección 0801906079,605,520,50*,35*
Sección 0801906080,565,540,0,25*
Sección 0801906081,575,535,20*,20*
Sección 0801906082,895,820,0,75*
Sección 0801906083,840,755,45*,45*
Sección 0801906084,855,785,70*,0
Sección 0801906085,645,610,0,30*
Sección 0801906086,350,350,0,0
Sección 0801906087,1260,1115,150*,0
Sección 0801906088,540,540,0,0
Sección 0801907001,635,610,25*,0
Sección 0801907002,565,540,0,25*
Sección 0801907003,645,590,0,55*
Sección 0801907004,650,650,0,0
Sección 0801907005,775,775,0,0
Sección 0801907006,465,435,30*,0
Sección 0801907007,610,610,0,0
Sección 0801907008,590,590,0,0
Sección 0801907009,665,665,0,0
Sección 0801907010,690,580,0,110*
Sección 0801907011,830,670,110*,50*
Sección 0801907012,925,765,0,160*
Sección 0801907013,505,480,25*,0
Sección 0801907014,480,355,0,125*
Sección 0801907015,695,670,25*,0
Sección 0801907016,610,610,0,0
Sección 0801907017,965,790,0,175*
Sección 0801907018,735,690,45*,0
Sección 0801907019,720,720,0,0
