"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2010,9,"Sant Andreu",57,"la Trinitat Vella","Persona física. Nacionalitat  espanyola",3153
2010,9,"Sant Andreu",58,"Baró de Viver","Persona física. Nacionalitat  espanyola",859
2010,9,"Sant Andreu",59,"el Bon Pastor","Persona física. Nacionalitat  espanyola",4071
2010,9,"Sant Andreu",60,"Sant Andreu","Persona física. Nacionalitat  espanyola",24474
2010,9,"Sant Andreu",61,"la Sagrera","Persona física. Nacionalitat  espanyola",10305
2010,9,"Sant Andreu",62,"el Congrés i els Indians","Persona física. Nacionalitat  espanyola",6111
2010,9,"Sant Andreu",63,"Navas","Persona física. Nacionalitat  espanyola",8787
2010,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Persona física. Nacionalitat  espanyola",16497
2010,10,"Sant Martí",65,"el Clot","Persona física. Nacionalitat  espanyola",10445
2010,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Persona física. Nacionalitat  espanyola",5397
2010,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Persona física. Nacionalitat  espanyola",3850
2010,10,"Sant Martí",68,"el Poblenou","Persona física. Nacionalitat  espanyola",12905
2010,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Persona física. Nacionalitat  espanyola",4558
2010,10,"Sant Martí",70,"el Besòs i el Maresme","Persona física. Nacionalitat  espanyola",8222
2010,10,"Sant Martí",71,"Provençals del Poblenou","Persona física. Nacionalitat  espanyola",7566
2010,10,"Sant Martí",72,"Sant Martí de Provençals","Persona física. Nacionalitat  espanyola",10758
2010,10,"Sant Martí",73,"la Verneda i la Pau","Persona física. Nacionalitat  espanyola",11529
2010,99,"No consta",99,"No consta","Persona física. Nacionalitat  espanyola",5
2010,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  estrangera",1706
2010,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  estrangera",412
2010,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  estrangera",268
2010,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  estrangera",568
2010,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  estrangera",210
2010,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  estrangera",309
2010,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  estrangera",390
2010,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  estrangera",345
2010,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  estrangera",336
2010,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  estrangera",253
2010,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  estrangera",820
2010,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  estrangera",2
2010,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  estrangera",397
2010,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  estrangera",82
2010,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  estrangera",133
2010,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  estrangera",92
2010,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  estrangera",153
2010,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  estrangera",238
2010,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  estrangera",223
2010,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  estrangera",80
2010,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  estrangera",137
2010,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  estrangera",112
2010,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  estrangera",222
2010,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  estrangera",116
2010,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  estrangera",168
2010,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  estrangera",325
2010,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  estrangera",206
2010,6,"Gràcia",28,"Vallcarca i els Penitents","Persona física. Nacionalitat  estrangera",120
2010,6,"Gràcia",29,"el Coll","Persona física. Nacionalitat  estrangera",58
2010,6,"Gràcia",30,"la Salut","Persona física. Nacionalitat  estrangera",86
2010,6,"Gràcia",31,"la Vila de Gràcia","Persona física. Nacionalitat  estrangera",419
2010,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Persona física. Nacionalitat  estrangera",171
2010,7,"Horta-Guinardó",33,"el Baix Guinardó","Persona física. Nacionalitat  estrangera",98
2010,7,"Horta-Guinardó",34,"Can Baró","Persona física. Nacionalitat  estrangera",68
2010,7,"Horta-Guinardó",35,"el Guinardó","Persona física. Nacionalitat  estrangera",171
2010,7,"Horta-Guinardó",36,"la Font d'en Fargues","Persona física. Nacionalitat  estrangera",38
2010,7,"Horta-Guinardó",37,"el Carmel","Persona física. Nacionalitat  estrangera",313
2010,7,"Horta-Guinardó",38,"la Teixonera","Persona física. Nacionalitat  estrangera",109
2010,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Persona física. Nacionalitat  estrangera",33
2010,7,"Horta-Guinardó",40,"Montbau","Persona física. Nacionalitat  estrangera",23
2010,7,"Horta-Guinardó",41,"la Vall d'Hebron","Persona física. Nacionalitat  estrangera",20
2010,7,"Horta-Guinardó",42,"la Clota","Persona física. Nacionalitat  estrangera",NA
2010,7,"Horta-Guinardó",43,"Horta","Persona física. Nacionalitat  estrangera",73
2010,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Persona física. Nacionalitat  estrangera",145
