"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2014,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  espanyola",15093
2014,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  espanyola",6465
2014,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  espanyola",6910
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  espanyola",9560
2014,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  espanyola",11927
2014,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  espanyola",22641
2014,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  espanyola",18268
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",18461
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",25021
2014,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  espanyola",16256
2014,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  espanyola",15521
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  espanyola",442
2014,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  espanyola",11234
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  espanyola",4337
2014,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  espanyola",6671
2014,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  espanyola",7602
2014,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  espanyola",10340
2014,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  espanyola",17980
2014,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  espanyola",19498
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  espanyola",10048
2014,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  espanyola",4261
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  espanyola",2859
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  espanyola",10277
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  espanyola",5350
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  espanyola",9401
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  espanyola",19328
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  espanyola",12791
2014,6,"Gràcia",28,"Vallcarca i els Penitents","Persona física. Nacionalitat  espanyola",7398
2014,6,"Gràcia",29,"el Coll","Persona física. Nacionalitat  espanyola",3369
2014,6,"Gràcia",30,"la Salut","Persona física. Nacionalitat  espanyola",5972
2014,6,"Gràcia",31,"la Vila de Gràcia","Persona física. Nacionalitat  espanyola",24834
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Persona física. Nacionalitat  espanyola",15610
2014,7,"Horta-Guinardó",33,"el Baix Guinardó","Persona física. Nacionalitat  espanyola",10896
2014,7,"Horta-Guinardó",34,"Can Baró","Persona física. Nacionalitat  espanyola",4264
2014,7,"Horta-Guinardó",35,"el Guinardó","Persona física. Nacionalitat  espanyola",16180
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues","Persona física. Nacionalitat  espanyola",4847
2014,7,"Horta-Guinardó",37,"el Carmel","Persona física. Nacionalitat  espanyola",13748
2014,7,"Horta-Guinardó",38,"la Teixonera","Persona física. Nacionalitat  espanyola",5249
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Persona física. Nacionalitat  espanyola",2860
2014,7,"Horta-Guinardó",40,"Montbau","Persona física. Nacionalitat  espanyola",2460
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron","Persona física. Nacionalitat  espanyola",2904
2014,7,"Horta-Guinardó",42,"la Clota","Persona física. Nacionalitat  espanyola",302
2014,7,"Horta-Guinardó",43,"Horta","Persona física. Nacionalitat  espanyola",12378
