Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_tipus_propietari,Concepte,Nombre
2018,1,Ciutat Vella,1,el Raval,1,Persona Física - Espanyola,Superfície_m2,26900
2018,1,Ciutat Vella,1,el Raval,1,Persona Física - Estrangera,Superfície_m2,5515
2018,1,Ciutat Vella,1,el Raval,1,Societats anònimes,Superfície_m2,1684
2018,1,Ciutat Vella,1,el Raval,1,Societats responsabilitat limitada,Superfície_m2,11934
2018,1,Ciutat Vella,1,el Raval,1,Societats col·lectives,Superfície_m2,57
2018,1,Ciutat Vella,1,el Raval,1,Corporacions locals,Superfície_m2,1409
2018,1,Ciutat Vella,1,el Raval,1,Organismes públics,Superfície_m2,14548
2018,1,Ciutat Vella,1,el Raval,1,Congregacions i institucions religioses,Superfície_m2,248
2018,1,Ciutat Vella,1,el Raval,1,Òrgans de l'Administració de l'Estat i comunitats autònomes,Superfície_m2,69
2018,1,Ciutat Vella,1,el Raval,1,No consta,Superfície_m2,523
2018,1,Ciutat Vella,1,el Raval,2,Persona Física - Espanyola,Superfície_m2,27021
2018,1,Ciutat Vella,1,el Raval,2,Persona Física - Estrangera,Superfície_m2,3393
2018,1,Ciutat Vella,1,el Raval,2,Societats anònimes,Superfície_m2,1011
2018,1,Ciutat Vella,1,el Raval,2,Societats responsabilitat limitada,Superfície_m2,9022
2018,1,Ciutat Vella,1,el Raval,2,Comunitats de béns,Superfície_m2,7
2018,1,Ciutat Vella,1,el Raval,2,Associacions,Superfície_m2,560
2018,1,Ciutat Vella,1,el Raval,2,Entitats estrangeres,Superfície_m2,968
2018,1,Ciutat Vella,1,el Raval,2,Corporacions locals,Superfície_m2,6380
2018,1,Ciutat Vella,1,el Raval,2,Organismes públics,Superfície_m2,1512
2018,1,Ciutat Vella,1,el Raval,2,No consta,Superfície_m2,242
2018,1,Ciutat Vella,1,el Raval,3,Persona Física - Espanyola,Superfície_m2,48573
2018,1,Ciutat Vella,1,el Raval,3,Persona Física - Estrangera,Superfície_m2,7849
2018,1,Ciutat Vella,1,el Raval,3,Societats anònimes,Superfície_m2,3441
2018,1,Ciutat Vella,1,el Raval,3,Societats responsabilitat limitada,Superfície_m2,7454
2018,1,Ciutat Vella,1,el Raval,3,Comunitats de béns,Superfície_m2,85
2018,1,Ciutat Vella,1,el Raval,3,Associacions,Superfície_m2,51
2018,1,Ciutat Vella,1,el Raval,3,Corporacions locals,Superfície_m2,270
2018,1,Ciutat Vella,1,el Raval,3,Organismes públics,Superfície_m2,8520
