"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2017,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  espanyola",14481
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  espanyola",6098
2017,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  espanyola",6606
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  espanyola",9201
2017,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  espanyola",11812
2017,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  espanyola",22586
2017,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  espanyola",18162
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",18170
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",25157
2017,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  espanyola",16120
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  espanyola",15109
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  espanyola",467
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  espanyola",11331
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  espanyola",4400
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  espanyola",6699
2017,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  espanyola",7724
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  espanyola",10383
2017,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  espanyola",17969
2017,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  espanyola",19760
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  espanyola",10198
2017,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  espanyola",4335
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  espanyola",2866
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  espanyola",10353
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  espanyola",5443
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  espanyola",9513
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  espanyola",19482
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  espanyola",12954
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Persona física. Nacionalitat  espanyola",7433
2017,6,"Gràcia",29,"el Coll","Persona física. Nacionalitat  espanyola",3375
2017,6,"Gràcia",30,"la Salut","Persona física. Nacionalitat  espanyola",5951
2017,6,"Gràcia",31,"la Vila de Gràcia","Persona física. Nacionalitat  espanyola",24814
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Persona física. Nacionalitat  espanyola",15607
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Persona física. Nacionalitat  espanyola",10910
2017,7,"Horta-Guinardó",34,"Can Baró","Persona física. Nacionalitat  espanyola",4257
2017,7,"Horta-Guinardó",35,"el Guinardó","Persona física. Nacionalitat  espanyola",16344
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Persona física. Nacionalitat  espanyola",4927
2017,7,"Horta-Guinardó",37,"el Carmel","Persona física. Nacionalitat  espanyola",13822
2017,7,"Horta-Guinardó",38,"la Teixonera","Persona física. Nacionalitat  espanyola",5296
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Persona física. Nacionalitat  espanyola",2826
2017,7,"Horta-Guinardó",40,"Montbau","Persona física. Nacionalitat  espanyola",2455
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Persona física. Nacionalitat  espanyola",3112
2017,7,"Horta-Guinardó",42,"la Clota","Persona física. Nacionalitat  espanyola",322
2017,7,"Horta-Guinardó",43,"Horta","Persona física. Nacionalitat  espanyola",12420
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Persona física. Nacionalitat  espanyola",11189
2017,8,"Nou Barris",45,"Porta","Persona física. Nacionalitat  espanyola",9983
2017,8,"Nou Barris",46,"el Turó de la Peira","Persona física. Nacionalitat  espanyola",5386
2017,8,"Nou Barris",47,"Can Peguera","Persona física. Nacionalitat  espanyola",212
2017,8,"Nou Barris",48,"la Guineueta","Persona física. Nacionalitat  espanyola",5897
2017,8,"Nou Barris",49,"Canyelles","Persona física. Nacionalitat  espanyola",2757
2017,8,"Nou Barris",50,"les Roquetes","Persona física. Nacionalitat  espanyola",6279
2017,8,"Nou Barris",51,"Verdun","Persona física. Nacionalitat  espanyola",5346
2017,8,"Nou Barris",52,"la Prosperitat","Persona física. Nacionalitat  espanyola",11522
2017,8,"Nou Barris",53,"la Trinitat Nova","Persona física. Nacionalitat  espanyola",2841
2017,8,"Nou Barris",54,"Torre Baró","Persona física. Nacionalitat  espanyola",1110
2017,8,"Nou Barris",55,"Ciutat Meridiana","Persona física. Nacionalitat  espanyola",3248
2017,8,"Nou Barris",56,"Vallbona","Persona física. Nacionalitat  espanyola",577
2017,9,"Sant Andreu",57,"la Trinitat Vella","Persona física. Nacionalitat  espanyola",3544
2017,9,"Sant Andreu",58,"Baró de Viver","Persona física. Nacionalitat  espanyola",828
2017,9,"Sant Andreu",59,"el Bon Pastor","Persona física. Nacionalitat  espanyola",4248
2017,9,"Sant Andreu",60,"Sant Andreu","Persona física. Nacionalitat  espanyola",25732
2017,9,"Sant Andreu",61,"la Sagrera","Persona física. Nacionalitat  espanyola",10719
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Persona física. Nacionalitat  espanyola",6273
2017,9,"Sant Andreu",63,"Navas","Persona física. Nacionalitat  espanyola",9032
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Persona física. Nacionalitat  espanyola",16975
2017,10,"Sant Martí",65,"el Clot","Persona física. Nacionalitat  espanyola",10568
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Persona física. Nacionalitat  espanyola",5865
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Persona física. Nacionalitat  espanyola",3874
2017,10,"Sant Martí",68,"el Poblenou","Persona física. Nacionalitat  espanyola",13436
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Persona física. Nacionalitat  espanyola",4806
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Persona física. Nacionalitat  espanyola",8174
2017,10,"Sant Martí",71,"Provençals del Poblenou","Persona física. Nacionalitat  espanyola",7874
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Persona física. Nacionalitat  espanyola",10851
2017,10,"Sant Martí",73,"la Verneda i la Pau","Persona física. Nacionalitat  espanyola",12066
2017,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  estrangera",1768
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  estrangera",850
2017,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  estrangera",677
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  estrangera",1197
2017,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  estrangera",497
2017,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  estrangera",682
2017,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  estrangera",1014
