id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9226936,Room with Private Balcony in Center,47969801,Arnaud,Ciutat Vella,el Raval,41.381217347828400,2.1649631012529100,Private room,25,2,0,,,1,365
5491485,Dobleroom#comfortable#verycenterBCN,8143414,,Ciutat Vella,el Raval,41.38032515641300,2.17165431048338,Private room,40,2,22,2015-10-16,2.19,1,317
7064358,Double room with terrace,1711997,NordinS,Ciutat Vella,el Raval,41.37788184389040,2.16531238211896,Private room,60,2,0,,,2,162
8500869,SpaciousRoom & Balcony,38778601,Rosa & Jacobo,Ciutat Vella,el Raval,41.380603965174700,2.167390698112620,Private room,25,1,3,2015-12-01,0.91,3,85
7725551,Double room in Drassanes,22149191,Giorgio,Ciutat Vella,el Raval,41.3749409508155,2.1756412175296900,Private room,50,3,0,,,1,365
9230206,Nice Room with ensuit bathroom,47964103,,Ciutat Vella,el Raval,41.380551284082300,2.169209481260280,Private room,35,2,0,,,2,365
7034778,"집 앞이 람블라스 거리, STORY POP(팝)",36878638,스토리 플랏,Ciutat Vella,el Raval,41.37978974237260,2.174440054079690,Private room,110,2,0,,,1,364
9404107,Beautiful cosy central home,2580626,,Ciutat Vella,el Raval,41.377362006086800,2.172169188337920,Private room,100,1,0,,,1,10
8476682,Cataluña Square. Barcelona center,3228884,David,Ciutat Vella,el Raval,41.38463504780260,2.1703571826082600,Entire home/apt,80,2,18,2015-12-06,5.40,1,359
1202355,Barcelona´s ¨La Rambla¨ awaits,6567406,Albert &,Ciutat Vella,el Raval,41.37817377141070,2.174491477938760,Private room,50,1,10,2015-10-26,1.52,1,350
1333469,Central Apt Raval Monthly Rent WIFI,5362280,,Ciutat Vella,el Raval,41.37839012648080,2.1656765756145800,Entire home/apt,50,32,26,2015-08-17,0.88,1,248
7326005,Chambre Cozy et au centre de Barca,38378101,Michael,Ciutat Vella,el Raval,41.377740453739900,2.1674337563051400,Private room,45,1,0,,,1,365
8051145,Cozy Boutique Flat MACBA,20433327,Maria Luisa,Ciutat Vella,el Raval,41.38087355352520,2.1657202007791400,Entire home/apt,79,1,2,2015-10-02,0.55,5,365
8149462,Sweet Single Room Near Boqueria,37308706,,Ciutat Vella,el Raval,41.381752487928200,2.171428626302720,Private room,25,2,3,2015-09-28,0.81,3,365
6104142,TRAVELLERS EXTREMELY LOVED HOME,31672679,Emma,Ciutat Vella,el Raval,41.38555069633040,2.168146640263610,Entire home/apt,99,2,11,2015-12-29,2.95,2,353
8968776,Carrera lovely  appartment,12508549,Tatiana,Ciutat Vella,el Raval,41.38501318777470,2.166681167423360,Entire home/apt,90,3,1,2015-12-28,1,3,365
9984646,RAMBLAS - BOQUERIA,5583695,Felicidad,Ciutat Vella,el Raval,41.3819011129036,2.168118661396890,Entire home/apt,50,3,0,,,4,340
10181360,Room with private bathroom,24254965,Salvatore,Ciutat Vella,el Raval,41.38339235663610,2.1639170711292700,Private room,60,2,0,,,1,355
7081791,P RAMBLA RAVAL,34964499,Catherine,Ciutat Vella,el Raval,41.378631159557100,2.167591224589580,Entire home/apt,115,4,3,2015-10-01,0.54,1,185
1629146," Design, art & vintage / old city",8658841,Olga Y Vlad,Ciutat Vella,el Raval,41.38266271711000,2.167558416258410,Entire home/apt,33,2,71,2016-01-02,2.62,4,316
451758,"Bright, elegant loft in center town",1267680,Victor,Ciutat Vella,el Raval,41.38201188339100,2.166177508302810,Entire home/apt,100,3,29,2015-12-21,0.67,4,287
1563780,TWO BEDROOMS IN LAS RAMBLAS,8130906,Arina,Ciutat Vella,el Raval,41.38494913003120,2.1661235866723800,Entire home/apt,165,3,0,,,1,335
253062,"Bright, cheerful room in Barcelona",1328737,Joe,Ciutat Vella,el Raval,41.382258856093100,2.170328488326140,Private room,30,2,17,2015-10-18,0.57,2,362
5568525,HABITACION CAMADOBLE ,16987393,Simone,Ciutat Vella,el Raval,41.382012863834000,2.1691711790570100,Private room,30,1,31,2015-11-16,3.80,5,365
2871424,Rustic Catalan Flat 75 sq meter,14676603,Elena,Ciutat Vella,el Raval,41.37927159991840,2.1674010102529100,Entire home/apt,80,2,11,2014-08-28,0.55,1,0
7360688,Sunny Double Room w/ private toilet,5328236,,Ciutat Vella,el Raval,41.37801574104860,2.175817059343300,Private room,25,3,7,2015-10-13,1.64,1,365
1269089,Beautiful Ramblas Boqueria 21a,136853,Lina&Marina,Ciutat Vella,el Raval,41.379248139814400,2.1727121594407700,Entire home/apt,144,3,9,2015-12-22,0.57,1,240
9213100,Feel the heartbeat of the old city,47897025,Alberto,Ciutat Vella,el Raval,41.37858428445170,2.1727984780752500,Entire home/apt,90,2,8,2016-01-01,4.29,1,156
8113529,apartamento junto a las Ramblas,42843040,,Ciutat Vella,el Raval,41.380448908313200,2.1719793366213700,Entire home/apt,240,3,0,,,1,343
9657764,Double room in the heart of Raval,49921153,Adam,Ciutat Vella,el Raval,41.3813589990533,2.166218108313130,Private room,40,1,0,,,1,16
5791212,La Luna sunny Apartment.,2756480,Jonathan,Ciutat Vella,el Raval,41.3833566171678,2.164680340134710,Entire home/apt,60,2,39,2015-12-20,4.22,1,307
5984534,Double Bed with private bathroom,31062568,,Ciutat Vella,el Raval,41.382295246772900,2.170576343662830,Private room,45,2,0,,,1,0
7299044,Big room for 4 person in the center,30337227,,Ciutat Vella,el Raval,41.37822059392830,2.174345803662020,Private room,55,3,5,2015-09-23,0.91,2,365
7855692,Super comfortable apartment!!! 2,34292365,Yury,Ciutat Vella,el Raval,41.38159110271560,2.16576054265067,Entire home/apt,65,1,11,2015-12-27,2.80,2,362
3690816,Aticus with terrace in the center,18788396,,Ciutat Vella,el Raval,41.38426341017110,2.1696093224843700,Entire home/apt,125,4,22,2015-11-05,1.45,1,311
7855716,"Lovely double bedroom, very centric",14836197,,Ciutat Vella,el Raval,41.37607382233220,2.171574803296750,Private room,20,1,6,2016-01-02,1.38,2,338
