id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1351797,SUITE WITH PRIVATE BATH,4772298,Astrid,Ciutat Vella,el Raval,41.37914433549940,2.164601450354360,Private room,30,3,95,2016-07-01,2.28,1,0
13512850,Central private joyful double bedroom,13410654,Samuel,Ciutat Vella,el Raval,41.38013075296380,2.164363677622300,Private room,21,2,27,2016-11-15,4.03,2,332
14329127,Cozy Room in center of Barcelona,48678603,Orlando,Ciutat Vella,el Raval,41.37935207745570,2.164182637361040,Private room,24,3,32,2017-01-03,6.49,2,10
15246460,Single&comfy room in lovely raval,76189037,Martina,Ciutat Vella,el Raval,41.384621321087400,2.1644390517866900,Private room,30,1,0,,,1,348
1189222,Cosy studio just off Las Ramblas,383697,Anna,Ciutat Vella,el Raval,41.385495066655800,2.167945653753930,Entire home/apt,69,3,30,2016-12-28,1.62,22,359
13313534,habitacion en rambla del raval (muy centrico),30986424,Kevin,Ciutat Vella,el Raval,41.377444405262600,2.1698302011259500,Private room,40,1,0,,,1,89
7666584,Double room in lovely flat,40193785,Gaby & Ken,Ciutat Vella,el Raval,41.377707038587300,2.1682071332905800,Private room,50,1,29,2016-11-07,1.69,1,47
15063931,SPACIOUS BOUTIQUE APARTMENT NEXT TO RAMBLAS,4064440,Andreas,Ciutat Vella,el Raval,41.383019568136400,2.165119262278000,Entire home/apt,195,3,3,2016-12-19,2.20,10,312
14755933,PARADISE  ROOM  for 2 PERSON,38141742,Maykol,Ciutat Vella,el Raval,41.38325248657820,2.16566411550341,Private room,25,1,18,2016-12-22,4.15,5,321
12561413,Summer Sunny  Centric Bcn,68091301,Stefanie,Ciutat Vella,el Raval,41.380466882703300,2.1641334966617900,Entire home/apt,70,2,36,2016-12-14,4.24,1,346
4696996,Habitaciones pleno centro Barcelona,24282359,Daniel,Ciutat Vella,el Raval,41.37545202392330,2.1751569321657600,Private room,70,1,0,,,7,365
16296906,Barcelona city center,21726991,Maria,Ciutat Vella,el Raval,41.37926453945610,2.1661664319802800,Entire home/apt,60,1,0,,,3,48
3845305,LOVELY ROOM IN LICEU,19821352,Guillem,Ciutat Vella,el Raval,41.3790885238818,2.173287122755560,Private room,65,1,0,,,1,0
3353692,COZY CENTRIC LOFT RAMBLAS,13862374,Roger,Ciutat Vella,el Raval,41.38110351681320,2.167571326453090,Entire home/apt,65,3,95,2016-12-29,3.14,3,153
16198902,Comfty room located in the center of BCN,7308577,Silvana & Juana,Ciutat Vella,el Raval,41.37610868264980,2.1690924690938000,Private room,30,1,5,2016-12-22,5,3,22
8077109,Nice & Sunny room in the Center,3548318,Nai,Ciutat Vella,el Raval,41.38021560139960,2.1685798748207800,Private room,32,2,41,2016-10-28,2.67,2,243
4412214,Ramblas Boquería Raval,9539548,Sonia,Ciutat Vella,el Raval,41.38169936591770,2.1710236163467300,Entire home/apt,105,2,5,2016-10-07,0.41,3,128
8768943,Comfy room in the city center,30978272,Andreea,Ciutat Vella,el Raval,41.3775320786409,2.1670152794143100,Private room,25,1,0,,,1,0
7559551,BONITA Y CÓMODA HABITACIÓN,39623843,Naldo Ney,Ciutat Vella,el Raval,41.371301176769,2.1805647703235200,Private room,50,4,3,2016-10-25,0.63,4,296
907637,super large loft apartment,4861615,Sandra,Ciutat Vella,el Raval,41.37804555154600,2.1666787063622400,Entire home/apt,124,32,105,2016-10-05,2.23,1,280
731225,Centric big room whit private balcony & bathroom.,3804525,Nahor Alexander,Ciutat Vella,el Raval,41.376667501903900,2.1671143941275900,Private room,33,2,64,2016-11-10,2.55,3,360
15888876,Private dream bed,13410654,Samuel,Ciutat Vella,el Raval,41.37778608508070,2.1645070738211000,Private room,20,2,0,,,2,348
14470889,Central&Cozy Double Bedroom + Free Breakfast(4),655279,John&Feran,Ciutat Vella,el Raval,41.38396631772780,2.1650145560707100,Private room,29,1,29,2017-01-01,6.74,5,248
14866999,"Bohemian, stylish and magic",66751881,Orland,Ciutat Vella,el Raval,41.37922552721100,2.168089988188560,Entire home/apt,80,2,1,2016-09-11,0.25,1,364
14379760,"Double Room - CENTER,  Amazing & Peaceful Location",39430002,Ivan,Ciutat Vella,el Raval,41.38050198137640,2.1639810538743000,Private room,50,2,22,2016-12-21,4.58,2,81
3919880,B&B mirador de Sant Pau,15705357,Alexia,Ciutat Vella,el Raval,41.37658686174330,2.1665969327575100,Private room,42,1,93,2016-12-29,3.26,6,363
14088178,Calle l'Aurora serca rambla raval,84131315,Patricia,Ciutat Vella,el Raval,41.37811768485270,2.1672333784996000,Private room,24,2,27,2016-11-07,5.26,1,180
16632115,habitacion  en el raval centro bnc,58727943,Land,Ciutat Vella,el Raval,41.37856697563140,2.165458702026050,Private room,26,1,0,,,3,166
3003812,TRIPLE PRIVATE ROOM/BALCONY,6741457,Mercy&Johan,Ciutat Vella,el Raval,41.38237878098190,2.165409170421210,Private room,30,1,142,2016-12-22,4.46,3,253
14443970,Pretty Room for two in the heart of Barcelona,81105486,Eduard,Ciutat Vella,el Raval,41.384032570380400,2.165050270356070,Private room,37,2,10,2016-10-31,2.07,2,0
9984646,RAMBLAS - BOQUERIA,5583695,Felicidad,Ciutat Vella,el Raval,41.3819011129036,2.168118661396890,Entire home/apt,50,3,33,2016-12-27,3.14,4,335
9379146,DISCOVER BCN: centric Old City+Breakfast,48575675,Eugenio,Ciutat Vella,el Raval,41.380064928757600,2.1657309258077300,Private room,39,2,27,2016-10-25,2.66,2,81
16038366,Cheap room in very nice house in Barcelona center,41767442,Maurizio,Ciutat Vella,el Raval,41.38048318959560,2.1676003161571300,Private room,25,5,0,,,3,178
7489005,SUNNY FLAT IN THE CENTER BARCELONA,39222012,Claudio,Ciutat Vella,el Raval,41.38061894929960,2.163546016383940,Private room,35,1,14,2016-11-01,2.03,4,365
8207551,Room in Sant Antoni huge terrasse,7783989,Christophe,Ciutat Vella,el Raval,41.3808442104594,2.1638396776108900,Private room,39,1,2,2015-09-27,0.13,2,0
4795262,Beautiful room in Universitatcenter,24711930,Cristina,Ciutat Vella,el Raval,41.3815182532658,2.1647379120094400,Private room,31,1,165,2016-12-28,8.05,3,244
13294437,Charming Studio/Apart. Downtown,35240984,Dubraska,Ciutat Vella,el Raval,41.379456616014300,2.173814688062950,Entire home/apt,80,5,2,2016-08-06,0.34,1,0
7974916,colorful room in the heart of Raval,42090125,Carla,Ciutat Vella,el Raval,41.37778136921550,2.1666546491574500,Private room,30,1,1,2015-09-01,0.06,1,0
7064358,Double room with terrace,1711997,NordinS,Ciutat Vella,el Raval,41.37788184389040,2.16531238211896,Private room,60,2,0,,,2,0
534698,Habitación en piso con patio ,655948,Julen,Ciutat Vella,el Raval,41.37919471931220,2.1662883905601700,Private room,35,2,50,2015-09-08,0.92,1,363
748693,Two beds- Ramblas- Charming,3102808,Carlos Y Reyes,Ciutat Vella,el Raval,41.381026556960200,2.1658222472115900,Private room,39,3,99,2016-11-02,2.13,2,365
7062775,Chambre double donnant sur terrasse,1711997,NordinS,Ciutat Vella,el Raval,41.37804460494630,2.1646681472859000,Private room,45,2,0,,,2,0
14624373,Doble room in Raval with bathroom,90782941,Glaub,Ciutat Vella,el Raval,41.37603641058220,2.1673909098005400,Private room,55,2,1,2016-09-23,0.29,1,364
1366871,Rent Rooms - Barcelona - Ramblas,7416756,Mario,Ciutat Vella,el Raval,41.385133375070900,2.1694548791250700,Private room,35,1,190,2016-12-20,4.62,2,317
12769961,One Room in center of BCN. El Raval,34087272,Rama,Ciutat Vella,el Raval,41.37874763025750,2.1649219552065800,Private room,50,1,6,2016-12-28,0.88,5,320
6682909,habitacion fucsia,771458,Rita,Ciutat Vella,el Raval,41.38313107807050,2.1644768449887600,Private room,35,3,21,2016-08-29,1.11,9,169
3031337,BUNK PRIVATE/ FOR 2 people,6741457,Mercy&Johan,Ciutat Vella,el Raval,41.382499788269500,2.1668720030697600,Private room,20,1,127,2016-12-22,3.98,3,278
14146558,New and cozy apartment in Barcelona,83576956,Valentina,Ciutat Vella,el Raval,41.37634366277710,2.170589635915020,Entire home/apt,45,30,8,2016-10-23,1.76,3,365
13264039,"Nice Double room in the heart of Barcelona,Balcony",74679551,Sebastian,Ciutat Vella,el Raval,41.382631341665600,2.1673114407513600,Private room,34,1,39,2016-12-18,5.44,4,280
1585899,Private room in central Barcelona,4280580,Duda,Ciutat Vella,el Raval,41.38077951947470,2.1653002398616200,Private room,25,2,7,2016-12-12,0.24,3,179
10185624,2 Rooms in center of BCN. El Raval,34087272,Rama,Ciutat Vella,el Raval,41.37990787167500,2.1645715823410900,Private room,40,1,0,,,5,318
11525264,Cozy Apartment with big Terrace,2227024,Dirk,Ciutat Vella,el Raval,41.383393800051600,2.1649186132581800,Entire home/apt,55,3,4,2016-09-15,0.42,1,0
1455645,"habitacion en barcelona:""Napoli""",7555617,Egisto,Ciutat Vella,el Raval,41.379639554878600,2.1659876581475300,Private room,50,2,10,2016-10-08,0.24,3,365
9838752,Nice apartment in the Old City,1778624,Jenny,Ciutat Vella,el Raval,41.37738232529210,2.166225767299000,Entire home/apt,48,4,3,2016-02-09,0.23,4,0
4043097,Private room in nice flat Downtown BCN - 2 people,3342528,Luis,Ciutat Vella,el Raval,41.378836389387500,2.166342197207100,Private room,55,1,2,2016-08-14,0.39,1,248
15026705,Bonito Apartamento en el centro de Barcelona,51095978,Jorge,Ciutat Vella,el Raval,41.37732114418620,2.165910968513830,Entire home/apt,40,2,2,2017-01-04,2,1,122
4377105,PENTHOUSE GORGEOUS DESIGN FLAT ,1853675,Richard,Ciutat Vella,el Raval,41.37956273139550,2.165048038843160,Entire home/apt,39,1,84,2016-12-23,3.38,15,249
259852,Center - Double w A/C - FreeWiFi,1363244,David,Ciutat Vella,el Raval,41.3813166774299,2.163779457481780,Private room,45,3,52,2016-07-27,0.83,4,26
14402630,S P A C i O U S bright room with exterior balcony.,88535058,Miguel,Ciutat Vella,el Raval,41.38192592928300,2.166733284182920,Private room,30,2,1,2016-08-16,0.21,1,0
8069247,New And cozy apartment.,17570808,Dany,Ciutat Vella,el Raval,41.37987205855790,2.1639684959703400,Entire home/apt,85,2,46,2016-11-27,2.83,1,37
13891086,Piso en sant antoni mui centrico,55595444,Susana,Ciutat Vella,el Raval,41.37731175503970,2.1652080870603300,Private room,100,3,1,2016-08-16,0.21,3,363
