id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18666,Flat with Sunny Terrace,71615,Mireia And Maria,Sant Martí,el Camp de l'Arpa del Clot,41.40888621158030,2.1855453256058000,Entire home/apt,130,3,1,2015-10-10,0.03,31,6
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.404196784819100,2.1730577177402500,Entire home/apt,60,1,5,2018-06-18,0.07,31,326
31377,"Room for 2,  Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.41096940955440,2.1707012064871600,Private room,42,3,4,2018-03-12,0.09,3,184
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.410900426326500,2.1708189126808000,Private room,53,3,39,2018-12-29,0.90,3,204
31958,"Gaudi Attic 1, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40949767562460,2.1593760044264000,Entire home/apt,60,1,151,2018-11-12,1.57,22,342
32471,"Gaudi Attic 2, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.409282448809000,2.1611176368188200,Entire home/apt,70,1,67,2018-08-04,0.69,22,335
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.404635812260700,2.169537931472450,Entire home/apt,140,2,47,2018-10-27,0.51,13,305
32868,"Sant Joan 4, Friendly Rentals",136853,Fidelio,Eixample,la Dreta de l'Eixample,41.395757583681100,2.1743191844528000,Entire home/apt,100,1,94,2018-11-25,0.93,22,0
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.3785865359138,2.1773029205559300,Entire home/apt,290,4,129,2019-01-04,1.28,1,238
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390292371929400,2.1526776655400900,Private room,40,2,217,2019-01-10,2.60,4,275
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390584087316800,2.151896791679500,Private room,30,2,180,2019-01-10,1.94,4,283
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39146706179140,2.1511848274650400,Private room,30,2,181,2019-01-01,2.23,4,302
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39075231772430,2.1507170864108000,Private room,45,2,150,2019-01-04,2.84,4,315
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906404797990,2.191414374177490,Private room,28,2,51,2018-11-10,0.57,1,364
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39559668113320,2.167606582682670,Entire home/apt,95,3,111,2018-12-26,1.20,4,248
46153,"CHIC BORN, GREAT LOCATION , FREE WIFI",90417,Etain,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776152188560,2.1778245041532000,Entire home/apt,43,180,2,2018-09-30,0.02,1,136
49213,"Descalzos en el parque, relaxing and  cool room",208154,Cate,Sants-Montjuïc,el Poble Sec,41.373151109271200,2.1664006033038800,Private room,35,2,41,2018-10-01,0.62,2,147
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40630655659380,2.1694475567850000,Entire home/apt,140,2,31,2018-10-07,0.34,13,312
50066,Sagrada Familia area - Sardenya 1,135703,Nick,Eixample,el Fort Pienc,41.39820673239580,2.1796556814819000,Entire home/apt,180,2,45,2018-08-22,0.49,13,257
58512,Stylish & cozy 3bed near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.410990047567800,2.1811883117959600,Entire home/apt,69,2,351,2019-01-02,3.71,1,341
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3890083942644,2.1655162637312300,Entire home/apt,105,2,40,2018-12-24,0.61,3,286
66037,Great apartment in  en el Born,323105,Amivelaz,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38322098271630,2.182339750582180,Entire home/apt,190,3,93,2018-11-25,0.97,1,272
67065,"Londres, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.39161026378200,2.150890219232700,Entire home/apt,70,1,60,2018-12-29,0.66,22,320
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.38071988862890,2.1781089116350200,Private room,47,2,63,2018-11-01,0.67,1,365
70099,"Room with a View, Bcn City Center",353987,Alex,Ciutat Vella,el Raval,41.378284332844,2.1708049698328700,Private room,44,1,298,2019-01-10,3.10,1,293
70333,Stylish+cozy home/parking/CCIB/WIFI,266650,Vanessa,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40905244967480,2.2124339822802700,Entire home/apt,90,32,124,2018-03-04,1.53,1,45
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41836809465220,2.134191605761800,Entire home/apt,250,7,1,2011-06-23,0.01,1,208
